pair1,pair2,1h,5m,4h,1d,15m
NZDUSD,EURUSD,76.3,60.3,52.4,72.3,91.6
NZDUSD,CHFJPY,61.1,25.5,31,41.6,6.7
NZDUSD,EURJPY,68.8,19.3,35.8,43,55.2
NZDUSD,NZDJPY,78,85.3,87.6,84.9,91.2
NZDUSD,AUDUSD,93.2,80.1,88.3,77.4,97.1
NZDUSD,CADJPY,23.9,55.4,29.9,41.6,5.2
NZDUSD,AUDJPY,67.8,55.1,69.5,60.5,70.8
NZDUSD,NZDUSD,100,100,100,100,100
NZDUSD,GBPUSD,75.3,60.5,56.6,56.4,60
NZDUSD,GBPJPY,55.1,32.5,40.1,44.6,1.5
NZDUSD,AUDNZD,-20.7,-36.9,9,17,-90.6
NZDUSD,AUDCAD,78.7,4.7,59.8,55.8,91.2
NZDUSD,AUDCHF,8,61.7,81,56,86.2
NZDUSD,GBPCHF,-0.7,29.9,15.8,33.4,-4.1
NZDUSD,GBPCAD,41,-57.6,-1.8,30,-5.7
NZDUSD,USDJPY,-44.6,-9.9,-16.8,-8,-56.4
NZDUSD,GBPNZD,-19.5,-78.9,-46.8,-16,-91.8
NZDUSD,EURCHF,66.2,5.9,47.6,14.4,78.9
NZDUSD,NZDCHF,15.9,94,57.5,71.8,98
NZDUSD,CADCHF,-33,60.1,18.6,18.7,-1.7
NZDUSD,NZDCAD,74.6,38,34.9,62.8,95.7
NZDUSD,EURCAD,44.8,-70.4,11.9,-9.3,52.8
NZDUSD,EURNZD,3.5,-95.8,-33.5,-74.9,-91.3
NZDUSD,GBPAUD,-10.3,-62.9,-62.2,-25.5,-79
NZDUSD,EURGBP,20.4,-35.8,9.8,-29.8,47.5
NZDUSD,EURAUD,12.4,-76.6,-57.3,-63.7,-43.6
NZDUSD,USDCAD,-73.5,-78.9,-45.6,-65.7,-75.6
NZDUSD,USDCHF,-70,-37.1,-51.8,-60.6,-86.8
GBPUSD,EURUSD,77.2,53.4,81.3,69.4,37.9
GBPUSD,CHFJPY,68.3,56.5,63.2,66.4,-5
GBPUSD,EURJPY,70.3,56.7,69.7,63.7,21.9
GBPUSD,NZDJPY,51,77.5,61.6,66.4,59.5
GBPUSD,AUDUSD,79.2,76,75.6,54.7,63.7
